job_id,title,industry,location,pay_rate,required_experience,required_skills,job_type,posting_duration,filled
164,HR Specialist,Healthcare,San Francisco,43,13,SQL,Contract,31,1
165,Data Scientist,Retail,San Francisco,98,14,Excel,Part-time,80,0
166,Marketing Analyst,Tech,Seattle,78,6,Python,Full-time,14,1
167,HR Specialist,Retail,New York,51,1,Excel,Full-time,53,0
168,Product Manager,Tech,Seattle,71,6,Python,Contract,48,1
169,Marketing Analyst,Retail,Austin,81,9,Communication,Full-time,69,1
170,Marketing Analyst,Finance,New York,77,6,Communication,Contract,62,0
171,Product Manager,Finance,Austin,71,0,Excel,Contract,66,0
172,HR Specialist,Education,New York,31,6,Communication,Contract,64,0
173,Software Engineer,Retail,Seattle,58,4,Machine Learning,Contract,70,1
174,Product Manager,Healthcare,San Francisco,21,2,SQL,Contract,63,1
175,Product Manager,Education,Chicago,22,12,SQL,Part-time,73,1
176,Product Manager,Finance,San Francisco,75,2,Python,Contract,33,0
177,Marketing Analyst,Retail,Seattle,78,3,Communication,Part-time,41,0
178,Data Scientist,Education,New York,21,12,Python,Full-time,89,1
179,Software Engineer,Retail,San Francisco,21,11,SQL,Contract,48,0
180,HR Specialist,Finance,Seattle,73,1,SQL,Full-time,13,1
181,HR Specialist,Education,Austin,20,1,Communication,Contract,73,1
182,Data Scientist,Finance,Chicago,38,0,Machine Learning,Part-time,77,1
183,Product Manager,Tech,San Francisco,21,14,Machine Learning,Part-time,31,1
184,Software Engineer,Finance,New York,72,4,Communication,Part-time,75,1
185,HR Specialist,Retail,Austin,63,3,Communication,Full-time,68,0
186,HR Specialist,Healthcare,Seattle,51,10,Python,Contract,4,0
187,Product Manager,Finance,Chicago,89,9,Communication,Full-time,19,0
188,Data Scientist,Healthcare,New York,51,14,Machine Learning,Part-time,70,1
189,Software Engineer,Tech,Seattle,87,1,Communication,Full-time,82,0
190,Data Scientist,Education,Seattle,74,2,Python,Part-time,13,1
191,Data Scientist,Education,San Francisco,94,6,Python,Part-time,23,1
192,Software Engineer,Healthcare,San Francisco,75,6,Python,Part-time,83,1
193,Software Engineer,Education,New York,36,11,Python,Contract,75,1
194,HR Specialist,Finance,Seattle,57,3,Excel,Contract,1,0
195,HR Specialist,Healthcare,San Francisco,43,4,Communication,Part-time,88,1
196,Software Engineer,Retail,Chicago,88,4,SQL,Full-time,54,1
197,Marketing Analyst,Finance,Chicago,89,5,Communication,Full-time,71,0
198,HR Specialist,Finance,Seattle,30,13,Excel,Contract,89,0
199,Marketing Analyst,Finance,San Francisco,35,8,Python,Part-time,85,1
200,Software Engineer,Retail,New York,92,1,Excel,Full-time,15,1
201,HR Specialist,Tech,New York,78,4,Machine Learning,Part-time,65,1
202,Data Scientist,Education,New York,89,11,Machine Learning,Full-time,76,1
203,Software Engineer,Healthcare,Chicago,99,2,Communication,Contract,71,1
204,Product Manager,Tech,San Francisco,22,3,Communication,Part-time,15,1
205,Marketing Analyst,Healthcare,San Francisco,39,9,SQL,Part-time,21,1
206,Software Engineer,Education,Chicago,78,5,SQL,Full-time,19,1
207,Software Engineer,Retail,New York,55,11,Machine Learning,Full-time,60,1
208,HR Specialist,Finance,New York,38,7,Python,Full-time,89,1
209,HR Specialist,Finance,Seattle,86,0,Excel,Part-time,33,1
210,HR Specialist,Retail,Austin,38,9,SQL,Contract,49,1
211,Product Manager,Tech,San Francisco,39,13,SQL,Contract,35,1
212,HR Specialist,Tech,San Francisco,90,7,Python,Full-time,44,1
213,Software Engineer,Healthcare,San Francisco,71,10,Python,Contract,11,1
214,HR Specialist,Retail,Austin,52,13,Communication,Full-time,72,1
215,Data Scientist,Tech,Seattle,59,6,Excel,Contract,78,1
216,HR Specialist,Retail,Austin,58,0,Python,Part-time,74,0
217,Product Manager,Education,New York,20,1,SQL,Full-time,66,1
218,Data Scientist,Finance,New York,30,2,SQL,Contract,46,0
219,Software Engineer,Finance,San Francisco,76,0,Machine Learning,Part-time,9,1
220,Software Engineer,Finance,Chicago,69,13,Python,Contract,3,1
221,Marketing Analyst,Retail,San Francisco,42,8,Communication,Part-time,85,1
222,Data Scientist,Retail,Chicago,50,7,Excel,Part-time,26,1
223,Marketing Analyst,Healthcare,Austin,61,1,Communication,Contract,72,1
224,Data Scientist,Finance,New York,26,12,SQL,Contract,48,1
225,Data Scientist,Healthcare,Chicago,35,8,Communication,Part-time,66,1
226,Product Manager,Finance,Austin,79,6,SQL,Part-time,70,1
227,Marketing Analyst,Healthcare,New York,21,8,SQL,Part-time,28,0
228,Product Manager,Healthcare,Chicago,20,5,SQL,Full-time,26,0
229,Data Scientist,Education,San Francisco,67,5,SQL,Part-time,25,1
230,Software Engineer,Healthcare,San Francisco,31,10,SQL,Full-time,12,1
231,Data Scientist,Retail,San Francisco,88,13,Machine Learning,Part-time,5,0
232,Product Manager,Healthcare,Austin,56,3,Communication,Full-time,48,0
233,Marketing Analyst,Finance,San Francisco,51,9,Machine Learning,Part-time,37,0
234,Marketing Analyst,Healthcare,Seattle,28,9,Machine Learning,Part-time,79,1
235,Product Manager,Tech,New York,38,12,Python,Part-time,44,1
236,Marketing Analyst,Finance,Austin,67,12,Python,Contract,15,1
237,HR Specialist,Tech,San Francisco,99,1,Python,Contract,43,0
238,Software Engineer,Finance,New York,22,6,Excel,Part-time,48,1
239,Software Engineer,Retail,Chicago,39,4,Python,Full-time,87,0
240,Software Engineer,Retail,San Francisco,43,10,Communication,Full-time,70,0
241,Marketing Analyst,Retail,New York,73,5,Machine Learning,Part-time,46,1
242,Marketing Analyst,Tech,Seattle,52,1,Communication,Contract,43,0
243,Data Scientist,Education,Chicago,43,4,Python,Full-time,21,0
244,Data Scientist,Finance,Seattle,94,9,Excel,Contract,23,0
245,Software Engineer,Retail,New York,91,3,Excel,Full-time,80,0
246,HR Specialist,Finance,Seattle,55,8,Machine Learning,Part-time,47,0
247,Data Scientist,Tech,New York,57,5,Communication,Contract,15,1
248,Data Scientist,Education,New York,44,1,SQL,Full-time,25,1
249,Marketing Analyst,Tech,Seattle,37,0,Communication,Part-time,36,1
250,HR Specialist,Finance,New York,85,4,Python,Part-time,75,1
251,Software Engineer,Education,San Francisco,73,8,SQL,Part-time,51,0
252,Data Scientist,Education,New York,54,5,Excel,Contract,15,1
253,HR Specialist,Tech,Austin,99,9,Machine Learning,Contract,68,1
254,HR Specialist,Retail,New York,80,11,Machine Learning,Part-time,21,0
255,Software Engineer,Finance,Austin,60,6,Excel,Contract,13,1
256,HR Specialist,Healthcare,New York,52,4,Python,Full-time,86,0
257,HR Specialist,Healthcare,New York,87,9,Excel,Part-time,19,1
258,HR Specialist,Tech,Seattle,52,5,Python,Part-time,34,1
259,Data Scientist,Finance,San Francisco,33,4,SQL,Contract,78,1
260,Software Engineer,Finance,San Francisco,40,10,Excel,Part-time,68,1
261,HR Specialist,Tech,Chicago,67,8,Python,Full-time,52,1
262,HR Specialist,Finance,Seattle,39,14,SQL,Contract,27,1
263,Data Scientist,Retail,Seattle,27,5,Excel,Contract,29,0
264,Software Engineer,Tech,San Francisco,26,10,Machine Learning,Part-time,28,0
265,Marketing Analyst,Retail,Seattle,86,7,Excel,Part-time,35,1
266,Data Scientist,Finance,San Francisco,36,1,Communication,Part-time,8,1
267,Software Engineer,Tech,Seattle,52,11,Excel,Contract,16,1
268,HR Specialist,Finance,New York,67,12,Communication,Part-time,36,1
269,Software Engineer,Tech,San Francisco,95,8,SQL,Full-time,30,1
270,Software Engineer,Finance,San Francisco,78,4,Excel,Part-time,18,1
271,Software Engineer,Retail,Austin,41,6,SQL,Part-time,2,1
272,Marketing Analyst,Retail,Seattle,49,9,SQL,Contract,49,1
273,Software Engineer,Finance,Seattle,57,12,Python,Part-time,77,1
274,Marketing Analyst,Tech,San Francisco,70,0,SQL,Contract,4,1
275,HR Specialist,Healthcare,New York,73,9,SQL,Part-time,89,0
276,Marketing Analyst,Retail,New York,27,4,Excel,Full-time,75,1
277,HR Specialist,Retail,New York,46,11,Excel,Full-time,7,0
278,HR Specialist,Healthcare,Seattle,46,13,Machine Learning,Contract,74,0
279,Marketing Analyst,Finance,Austin,40,9,Python,Contract,39,0
280,Data Scientist,Tech,San Francisco,49,13,SQL,Part-time,13,1
281,Product Manager,Finance,Chicago,47,1,Python,Part-time,31,1
282,Software Engineer,Education,Austin,83,11,Communication,Full-time,71,0
283,Product Manager,Retail,Chicago,88,5,SQL,Part-time,63,1
284,Software Engineer,Education,Austin,80,10,Python,Full-time,56,1
285,Software Engineer,Retail,New York,67,0,Machine Learning,Contract,42,1
286,HR Specialist,Retail,Seattle,38,2,Machine Learning,Part-time,61,0
287,Software Engineer,Education,Chicago,23,4,SQL,Contract,42,1
288,Software Engineer,Education,Austin,54,3,Communication,Part-time,56,1
289,Marketing Analyst,Finance,Seattle,83,2,Machine Learning,Full-time,36,0
290,Product Manager,Education,Chicago,68,9,Machine Learning,Contract,84,0
291,Marketing Analyst,Finance,San Francisco,36,12,Communication,Contract,68,1
292,Software Engineer,Finance,Austin,63,4,Python,Part-time,7,1
293,HR Specialist,Finance,San Francisco,49,10,Machine Learning,Contract,54,1
294,Marketing Analyst,Retail,New York,65,7,Excel,Full-time,1,1
295,Marketing Analyst,Retail,San Francisco,25,10,Machine Learning,Contract,44,1
296,Data Scientist,Education,San Francisco,56,3,Python,Contract,45,1
297,Software Engineer,Retail,Austin,43,0,Python,Part-time,47,0
298,HR Specialist,Education,New York,65,10,SQL,Contract,13,1
299,Marketing Analyst,Retail,San Francisco,72,6,Excel,Part-time,22,1
300,Marketing Analyst,Tech,Seattle,79,7,Python,Part-time,21,1
301,HR Specialist,Tech,Chicago,82,2,Communication,Contract,86,1
302,Software Engineer,Education,San Francisco,51,5,Excel,Full-time,9,1
303,Data Scientist,Retail,New York,52,1,Excel,Part-time,26,0
304,Marketing Analyst,Retail,San Francisco,86,6,Communication,Contract,9,1
305,Data Scientist,Finance,Chicago,37,14,Machine Learning,Part-time,15,0
306,Product Manager,Healthcare,New York,44,7,Communication,Full-time,10,1
307,Software Engineer,Education,Austin,73,5,Communication,Full-time,88,0
308,Product Manager,Healthcare,New York,77,5,Machine Learning,Part-time,42,0
309,Product Manager,Healthcare,Austin,86,4,Machine Learning,Full-time,72,1
310,Product Manager,Education,New York,65,7,Machine Learning,Contract,24,0
311,Software Engineer,Retail,Chicago,43,0,Machine Learning,Contract,80,1
312,Software Engineer,Education,Chicago,51,9,Machine Learning,Part-time,49,1
313,HR Specialist,Healthcare,New York,66,3,Communication,Full-time,26,0
314,Data Scientist,Retail,San Francisco,42,14,SQL,Contract,37,0
315,Data Scientist,Tech,Chicago,85,3,SQL,Contract,68,1
316,HR Specialist,Education,Austin,46,2,Python,Contract,50,1
317,HR Specialist,Education,Austin,21,2,SQL,Part-time,24,1
318,Product Manager,Retail,Seattle,36,3,SQL,Part-time,19,1
319,HR Specialist,Tech,Austin,52,10,Communication,Contract,60,1
320,Marketing Analyst,Tech,Seattle,28,0,Machine Learning,Contract,39,1
321,Data Scientist,Retail,New York,62,13,Machine Learning,Full-time,74,1
322,HR Specialist,Finance,New York,67,10,Communication,Full-time,89,1
323,Marketing Analyst,Education,New York,58,12,SQL,Full-time,18,0
324,Marketing Analyst,Education,San Francisco,61,10,Communication,Part-time,19,1
325,Marketing Analyst,Healthcare,San Francisco,45,1,Python,Contract,36,1
326,Marketing Analyst,Retail,Seattle,69,8,Machine Learning,Part-time,74,1
327,Product Manager,Healthcare,Austin,44,9,Excel,Contract,55,1
328,Marketing Analyst,Healthcare,Austin,43,1,Python,Full-time,69,1
329,Product Manager,Tech,New York,32,4,Python,Full-time,47,1
330,Product Manager,Education,Chicago,79,8,Communication,Full-time,49,1
331,Marketing Analyst,Healthcare,San Francisco,26,8,SQL,Full-time,33,1
332,Data Scientist,Tech,San Francisco,76,7,Machine Learning,Contract,21,1
333,Marketing Analyst,Retail,New York,55,0,Excel,Full-time,81,1
334,Marketing Analyst,Healthcare,San Francisco,64,0,Python,Contract,22,1
335,Marketing Analyst,Education,New York,39,8,Excel,Contract,48,1
336,Data Scientist,Healthcare,Seattle,84,12,SQL,Part-time,37,1
337,Software Engineer,Retail,Austin,27,10,SQL,Full-time,15,1
338,Software Engineer,Healthcare,Chicago,35,7,Excel,Full-time,35,1
339,Product Manager,Education,Austin,33,9,Machine Learning,Part-time,71,0
340,Product Manager,Tech,Austin,95,8,SQL,Contract,32,1
341,Data Scientist,Education,Seattle,34,6,Excel,Full-time,11,0
342,HR Specialist,Tech,San Francisco,85,2,Python,Contract,10,1
343,Software Engineer,Finance,Chicago,51,2,Excel,Part-time,73,1
344,Product Manager,Education,San Francisco,82,1,Excel,Contract,78,0
345,Software Engineer,Education,Austin,70,4,Communication,Full-time,77,0
346,Data Scientist,Retail,New York,44,11,SQL,Contract,57,1
347,Data Scientist,Healthcare,Austin,77,11,Machine Learning,Contract,25,1
348,HR Specialist,Tech,San Francisco,82,2,Machine Learning,Full-time,2,1
349,HR Specialist,Tech,Austin,81,13,Communication,Full-time,64,0
350,Data Scientist,Retail,New York,41,5,Machine Learning,Contract,35,1
351,Product Manager,Retail,Seattle,77,1,Excel,Contract,7,1
352,Software Engineer,Healthcare,San Francisco,77,11,Communication,Part-time,85,1
353,Marketing Analyst,Healthcare,Austin,68,2,Python,Full-time,18,1
354,HR Specialist,Education,San Francisco,71,4,SQL,Contract,67,1
355,Marketing Analyst,Finance,Seattle,61,11,SQL,Full-time,42,0
356,Product Manager,Healthcare,Austin,89,10,SQL,Part-time,39,1
357,HR Specialist,Retail,Austin,34,10,Excel,Contract,41,1
358,Marketing Analyst,Healthcare,San Francisco,73,0,Python,Contract,75,1
359,Product Manager,Tech,San Francisco,79,12,Communication,Contract,24,0
360,Software Engineer,Finance,New York,27,0,Communication,Full-time,60,1
361,Product Manager,Education,Seattle,72,9,SQL,Part-time,46,0
362,HR Specialist,Tech,New York,79,8,Python,Full-time,19,1
363,Data Scientist,Tech,Austin,24,6,Python,Contract,68,1
364,Software Engineer,Finance,San Francisco,87,0,Python,Part-time,42,1
365,Marketing Analyst,Education,Austin,25,14,Machine Learning,Contract,32,0
366,HR Specialist,Retail,Austin,66,11,Machine Learning,Contract,39,0
367,Data Scientist,Education,Chicago,74,13,SQL,Full-time,36,1
368,Product Manager,Healthcare,Chicago,59,7,Python,Contract,36,0
369,Data Scientist,Tech,Austin,71,2,Python,Part-time,3,0
370,HR Specialist,Healthcare,San Francisco,35,7,Communication,Contract,73,1
371,HR Specialist,Retail,Austin,32,14,Communication,Contract,8,1
372,Data Scientist,Healthcare,Chicago,49,4,SQL,Full-time,70,0
373,Product Manager,Education,San Francisco,38,0,Python,Part-time,41,1
374,Data Scientist,Healthcare,Austin,36,6,SQL,Full-time,68,0
375,HR Specialist,Retail,Seattle,82,4,Communication,Contract,13,1
376,HR Specialist,Retail,Seattle,38,5,Communication,Full-time,49,1
377,Marketing Analyst,Retail,Austin,77,5,Machine Learning,Full-time,60,1
378,Marketing Analyst,Education,San Francisco,74,7,SQL,Full-time,2,1
379,Software Engineer,Retail,Austin,81,8,SQL,Full-time,60,1
380,HR Specialist,Tech,Austin,42,1,Python,Contract,5,1
381,Marketing Analyst,Retail,Chicago,28,8,Python,Contract,44,0
382,Data Scientist,Healthcare,Seattle,31,11,Machine Learning,Part-time,27,1
383,Product Manager,Healthcare,Chicago,20,14,Excel,Full-time,32,1
384,Data Scientist,Healthcare,Chicago,77,10,Excel,Full-time,21,1
385,Product Manager,Education,Austin,20,9,Excel,Part-time,8,1
386,Marketing Analyst,Healthcare,Chicago,53,8,SQL,Full-time,72,1
387,Software Engineer,Education,Seattle,67,12,SQL,Part-time,50,0
388,Data Scientist,Education,Chicago,20,9,Communication,Contract,67,1
389,Data Scientist,Retail,Seattle,35,14,SQL,Part-time,44,1
390,Data Scientist,Tech,Chicago,80,9,SQL,Full-time,58,1
391,Product Manager,Retail,Seattle,83,6,SQL,Part-time,3,1
392,Marketing Analyst,Retail,Chicago,82,0,Machine Learning,Contract,86,1
393,Data Scientist,Education,Chicago,88,6,SQL,Full-time,70,1
394,Data Scientist,Education,San Francisco,41,9,Python,Contract,2,0
395,Software Engineer,Healthcare,Seattle,86,4,Python,Contract,87,0
396,Software Engineer,Healthcare,Seattle,95,5,Communication,Part-time,44,0
