job_id,specialty,state,contract_length,pay_rate,weekly_stipend,shift_type,hospital_type,bed_count,experience_years,certification,agency_rating,travel_experience,certification_rarity,filled
81,Med-Surg,California,26,53,2205,Night,Teaching,820,15,CEN,4.909886559328563,1,0.167,1
82,Pediatrics,Ohio,13,62,1331,Night,Private,959,1,CCRN,4.014540068885037,1,0.176,0
83,Pediatrics,California,26,79,1755,Rotating,Community,237,17,BLS,4.982186113931953,1,0.16,1
84,Med-Surg,Illinois,4,60,951,Night,Government,734,16,PALS,4.2278456836480345,0,0.1605,0
85,Med-Surg,New York,8,55,2385,Rotating,Community,339,6,TNCC,3.7687458774352263,0,0.172,0
86,ICU,New York,4,84,1746,Day,Government,94,12,TNCC,4.836710137690265,1,0.172,1
87,Pediatrics,Ohio,4,57,1407,Day,Government,622,17,TNCC,4.19053305970224,0,0.172,0
88,Pediatrics,North Carolina,26,86,2440,Day,Teaching,132,13,CEN,4.564507015256787,1,0.167,1
89,Med-Surg,North Carolina,26,63,1219,Night,Government,172,17,CCRN,4.9755673748137275,1,0.176,1
90,Labor & Delivery,Illinois,13,65,2073,Rotating,Private,407,12,PALS,3.575263025479961,0,0.1605,0
91,Labor & Delivery,Georgia,8,64,1940,Night,Community,577,10,ACLS,3.6450418396813506,1,0.1645,0
92,ICU,Illinois,4,84,1665,Rotating,Government,115,15,TNCC,4.580685112194134,1,0.172,1
93,Labor & Delivery,North Carolina,13,80,2335,Night,Community,985,16,CCRN,3.922737504943208,1,0.176,1
94,Labor & Delivery,Illinois,13,68,1377,Day,Community,706,7,PALS,3.7764520954251486,0,0.1605,0
95,Labor & Delivery,Texas,4,54,1134,Rotating,Community,424,18,PALS,3.5590428197295942,0,0.1605,0
96,ER,Florida,4,84,2241,Night,Government,211,19,BLS,3.532770067979303,1,0.16,1
97,ICU,North Carolina,13,40,1731,Rotating,Teaching,795,14,CCRN,4.661728404679686,0,0.176,0
98,Med-Surg,North Carolina,4,64,1094,Rotating,Community,429,8,TNCC,3.701650141054325,1,0.172,0
99,Labor & Delivery,California,4,46,1554,Night,Community,705,19,CEN,4.201580923956726,0,0.167,0
100,ER,Illinois,26,48,2194,Night,Government,407,9,PALS,4.408845222769225,1,0.1605,0
101,Labor & Delivery,Illinois,8,63,985,Rotating,Government,237,11,PALS,4.142527700853269,1,0.1605,1
102,ER,Illinois,13,40,2069,Rotating,Private,371,19,ACLS,3.5406599785043498,1,0.1645,0
103,ICU,New York,4,83,1436,Day,Private,499,0,BLS,4.6752522538818635,0,0.16,1
104,Labor & Delivery,Illinois,13,47,2091,Rotating,Teaching,523,19,PALS,3.5157698368124803,1,0.1605,0
105,ER,North Carolina,8,63,2466,Day,Teaching,62,8,PALS,4.642834841566226,0,0.1605,0
106,Pediatrics,California,13,50,2060,Day,Teaching,233,14,CEN,4.839956740682184,1,0.167,1
107,Pediatrics,Georgia,13,56,1329,Day,Teaching,160,0,CEN,4.149259881585758,0,0.167,0
108,ER,Georgia,13,47,2375,Rotating,Community,976,11,ACLS,4.303313709646697,1,0.1645,0
109,Labor & Delivery,Illinois,26,74,820,Day,Government,557,2,CCRN,4.215475088926481,1,0.176,1
110,Labor & Delivery,California,8,74,1710,Rotating,Private,339,10,ACLS,4.083812927935158,0,0.1645,1
111,ICU,Texas,8,72,1666,Rotating,Community,344,1,ACLS,4.83113680305554,1,0.1645,1
112,ICU,Georgia,13,44,1593,Night,Government,500,15,CEN,4.840900266004986,0,0.167,0
113,Med-Surg,North Carolina,13,81,2343,Rotating,Government,953,8,CCRN,4.003724546962301,1,0.176,1
114,ICU,Florida,8,78,899,Rotating,Community,264,14,CEN,4.422604631022047,1,0.167,0
115,Labor & Delivery,New York,4,80,1551,Day,Community,681,11,BLS,4.890361343218796,1,0.16,1
116,Med-Surg,California,26,67,1277,Rotating,Private,943,0,TNCC,4.943087748412028,1,0.172,0
117,ICU,Georgia,8,46,2422,Rotating,Teaching,616,12,TNCC,4.263438560633071,0,0.172,0
118,ER,Georgia,13,48,2121,Night,Teaching,76,13,BLS,4.17923720792649,1,0.16,0
119,Pediatrics,Ohio,4,47,1739,Night,Private,679,7,TNCC,3.9180414738927887,0,0.172,0
120,ICU,Texas,4,51,1325,Day,Private,782,7,CCRN,4.938307809785615,1,0.176,0
121,ICU,Florida,4,73,1133,Day,Teaching,280,11,CEN,3.714221456709301,1,0.167,0
122,ER,Florida,26,72,801,Night,Community,614,0,TNCC,4.369744364071588,1,0.172,0
123,Labor & Delivery,Florida,26,87,1174,Night,Teaching,856,10,CCRN,3.9238254012779583,0,0.176,0
124,ER,North Carolina,8,62,1092,Rotating,Government,370,7,CEN,3.918512435521695,1,0.167,0
125,ICU,California,8,63,1636,Day,Government,962,9,CCRN,4.107452881064283,1,0.176,0
126,Labor & Delivery,Texas,8,76,1804,Day,Private,282,18,BLS,4.998189403723481,1,0.16,1
127,Med-Surg,Illinois,8,74,1352,Rotating,Teaching,719,10,ACLS,3.582449460259733,0,0.1645,0
128,ICU,Ohio,13,83,1117,Rotating,Teaching,486,6,BLS,4.367812727305298,0,0.16,0
129,ER,Texas,26,79,2325,Day,Government,830,10,TNCC,3.6238582370529158,0,0.172,1
130,Med-Surg,Texas,4,61,1180,Night,Teaching,582,16,CEN,3.7317812449857786,1,0.167,0
131,Pediatrics,Georgia,13,66,2446,Night,Private,452,0,CCRN,4.1593444126593475,0,0.176,1
132,Med-Surg,Texas,8,74,813,Rotating,Private,102,7,TNCC,4.265690197019662,1,0.172,1
133,ER,California,8,40,1303,Day,Government,836,5,TNCC,3.888188612546786,0,0.172,0
134,Med-Surg,Ohio,13,74,1030,Rotating,Teaching,362,17,ACLS,3.9746856963116244,1,0.1645,0
135,ER,California,4,76,1907,Night,Teaching,330,5,TNCC,3.6304505303838996,1,0.172,1
136,ICU,Ohio,26,86,929,Night,Government,775,4,ACLS,3.954829675766376,1,0.1645,0
137,Labor & Delivery,Ohio,26,53,1637,Rotating,Community,80,12,CEN,4.949837659070816,1,0.167,1
138,Pediatrics,Georgia,4,42,1968,Night,Community,386,18,CEN,4.917061072508723,0,0.167,0
139,Labor & Delivery,California,26,40,1690,Day,Teaching,232,7,CCRN,4.002317435205478,0,0.176,0
140,Labor & Delivery,Ohio,8,44,827,Rotating,Private,72,8,ACLS,4.356280904418142,0,0.1645,0
141,Labor & Delivery,Texas,8,65,865,Rotating,Community,593,16,BLS,4.864393086666416,1,0.16,1
142,ER,California,8,53,1986,Rotating,Teaching,495,2,CEN,3.509275733961345,1,0.167,0
143,ER,Ohio,8,78,2052,Night,Community,123,18,CCRN,4.716025355506388,1,0.176,1
144,Pediatrics,North Carolina,4,66,1060,Day,Government,59,10,BLS,4.922554329183378,1,0.16,0
145,ER,Florida,26,48,2272,Rotating,Community,533,16,CEN,3.6369886015003354,1,0.167,0
146,ER,California,26,54,2247,Rotating,Community,505,18,CEN,3.7421715290493816,1,0.167,0
147,ER,Georgia,13,54,1259,Night,Government,615,1,CCRN,4.941119454157033,1,0.176,0
148,ER,North Carolina,4,65,2499,Day,Private,613,7,CCRN,4.3063102154605195,0,0.176,0
149,ICU,North Carolina,26,81,1100,Rotating,Teaching,709,18,PALS,3.5212949517075858,1,0.1605,0
150,Pediatrics,New York,26,52,1718,Night,Private,209,6,TNCC,3.886447998145294,1,0.172,0
151,ER,California,13,71,2126,Rotating,Private,931,16,TNCC,4.17491551140329,1,0.172,1
152,Pediatrics,North Carolina,8,78,1086,Night,Community,63,5,BLS,4.539363366537152,1,0.16,1
153,Med-Surg,California,26,88,2218,Day,Teaching,227,18,TNCC,4.599740567205199,1,0.172,1
154,ICU,California,8,71,1833,Night,Community,461,5,BLS,4.993132269388184,0,0.16,0
155,ER,Ohio,13,43,1429,Rotating,Government,927,1,CEN,3.9312667990756385,1,0.167,0
156,ICU,California,26,69,1069,Rotating,Private,102,5,PALS,4.307330152802713,1,0.1605,1
157,ICU,New York,8,76,1391,Night,Private,457,4,PALS,4.299985321789407,0,0.1605,1
158,Med-Surg,Illinois,4,62,2428,Day,Government,896,18,CEN,4.108467889170856,1,0.167,0
159,Pediatrics,California,8,78,1643,Day,Teaching,71,19,CCRN,3.75374284076363,1,0.176,1
160,ICU,Florida,8,84,1661,Rotating,Private,79,3,ACLS,4.966184844775764,1,0.1645,1
161,Labor & Delivery,New York,8,54,2184,Rotating,Private,752,16,ACLS,4.779975779999879,0,0.1645,1
162,Med-Surg,Illinois,8,82,2080,Night,Teaching,309,10,TNCC,4.247499542441355,1,0.172,1
163,Labor & Delivery,Ohio,4,68,932,Night,Community,254,3,CCRN,4.404868134026045,1,0.176,0
164,Med-Surg,California,13,75,2099,Night,Government,108,12,BLS,3.8408915803394934,1,0.16,1
165,Labor & Delivery,Illinois,8,52,1771,Day,Teaching,520,19,PALS,4.3156806055876205,1,0.1605,1
166,Labor & Delivery,Florida,8,71,1312,Day,Government,825,16,TNCC,4.542455199682214,1,0.172,1
167,ICU,New York,26,46,1112,Rotating,Government,515,8,CEN,4.2727505425798835,1,0.167,0
168,ICU,New York,26,61,1375,Rotating,Private,61,3,CCRN,4.985427755877412,1,0.176,0
169,Med-Surg,Ohio,4,67,1685,Rotating,Teaching,680,13,PALS,4.41701248437159,1,0.1605,0
170,Pediatrics,Ohio,4,41,2107,Night,Government,976,18,BLS,4.056460568888253,1,0.16,0
171,ICU,Ohio,4,81,1944,Day,Community,339,2,BLS,4.658228041423757,0,0.16,1
172,ICU,Illinois,26,84,1930,Rotating,Government,899,13,ACLS,3.7556937673724633,1,0.1645,1
173,ER,California,8,45,1486,Rotating,Private,809,7,TNCC,4.0767737205594,1,0.172,0
174,ICU,Texas,26,67,2027,Rotating,Community,403,0,CEN,4.020438425566379,1,0.167,1
175,Pediatrics,North Carolina,13,67,964,Rotating,Community,688,9,PALS,4.147710642661666,0,0.1605,0
176,ER,New York,4,83,1104,Rotating,Teaching,124,17,BLS,4.67266973889309,1,0.16,1
177,Labor & Delivery,Texas,4,83,2320,Rotating,Community,922,15,PALS,4.226259548245111,0,0.1605,1
178,Labor & Delivery,Georgia,4,59,2455,Day,Teaching,765,7,CEN,4.691021675398944,0,0.167,0
179,ER,New York,13,69,2379,Rotating,Teaching,610,0,PALS,4.364733354709799,1,0.1605,1
180,ER,North Carolina,8,50,955,Day,Community,640,11,TNCC,4.013104151986333,1,0.172,0
181,ER,Ohio,8,67,2190,Night,Teaching,490,7,ACLS,4.714968115525209,1,0.1645,1
182,Med-Surg,North Carolina,8,64,1419,Day,Teaching,290,15,PALS,3.8574345058296373,0,0.1605,0
183,Pediatrics,California,4,78,2074,Night,Community,910,17,CCRN,3.836574469699693,1,0.176,1
184,Pediatrics,California,8,72,1756,Day,Private,203,3,ACLS,4.256754386082253,0,0.1645,1
185,Labor & Delivery,New York,26,40,1133,Day,Government,835,5,CEN,3.8912738689431334,1,0.167,0
186,Labor & Delivery,Illinois,4,66,2465,Rotating,Teaching,145,11,ACLS,3.5136305524268243,1,0.1645,0
187,Labor & Delivery,Georgia,13,52,1768,Day,Teaching,775,8,PALS,4.472446290948202,1,0.1605,1
188,ICU,North Carolina,13,80,1310,Day,Community,343,14,PALS,4.266640732208597,1,0.1605,1
189,Labor & Delivery,Ohio,8,42,2116,Rotating,Government,258,15,CCRN,4.168276721739742,0,0.176,0
190,ER,California,4,78,1843,Night,Government,392,11,BLS,4.950452771927473,1,0.16,1
191,Labor & Delivery,Georgia,26,45,1081,Rotating,Teaching,137,13,CCRN,4.3567987759443705,0,0.176,0
192,ER,Georgia,26,47,1596,Rotating,Community,867,12,PALS,4.795147366684077,1,0.1605,0
193,Med-Surg,California,4,66,1824,Rotating,Private,825,1,ACLS,3.70917535430774,1,0.1645,1
194,ICU,Florida,8,48,918,Night,Government,986,2,CCRN,4.353809694694141,0,0.176,0
195,ICU,North Carolina,13,76,1858,Day,Private,439,9,CCRN,4.801969440096355,1,0.176,1
196,Pediatrics,Georgia,13,72,997,Day,Community,374,8,BLS,4.374658635919847,1,0.16,0
197,Med-Surg,California,26,81,1284,Rotating,Private,989,19,PALS,4.577021267190503,0,0.1605,1
198,ER,Florida,26,83,1882,Rotating,Community,938,7,PALS,4.058065351718311,0,0.1605,1
199,Med-Surg,California,26,63,1636,Day,Teaching,881,9,CEN,3.6386742755556,0,0.167,1
200,ICU,California,13,54,1984,Day,Private,206,18,BLS,4.1868504426906075,1,0.16,1
201,ER,Georgia,26,71,1808,Day,Teaching,717,2,CEN,4.091719086258286,1,0.167,1
202,Med-Surg,Illinois,13,71,1490,Night,Teaching,700,4,CEN,4.800590273568421,0,0.167,1
203,ICU,Illinois,13,63,2029,Night,Community,682,2,CEN,3.8659929535287083,0,0.167,0
204,ER,Ohio,8,80,1835,Rotating,Private,626,15,TNCC,4.950101341302663,1,0.172,1
205,ER,North Carolina,8,88,1289,Night,Government,668,16,CEN,4.9372071797067445,1,0.167,1
206,ICU,California,8,88,1075,Rotating,Private,708,14,CCRN,3.871447464607158,1,0.176,0
207,ER,North Carolina,26,51,1492,Day,Government,186,2,ACLS,4.02207793321598,1,0.1645,0
208,ICU,Ohio,13,78,1041,Day,Teaching,972,11,CCRN,4.843333611310827,0,0.176,1
209,Labor & Delivery,Ohio,26,41,2039,Rotating,Teaching,723,8,CCRN,4.949933331344161,1,0.176,1
210,Labor & Delivery,Ohio,13,42,2074,Day,Community,477,11,PALS,4.165158654254066,1,0.1605,0
211,ER,Ohio,8,88,925,Rotating,Government,501,14,TNCC,3.9814955684613467,0,0.172,0
212,ER,New York,8,76,1016,Rotating,Private,661,1,CEN,4.289141019877313,1,0.167,0
213,ICU,Georgia,26,88,2129,Rotating,Community,899,17,PALS,4.531653809548603,1,0.1605,1
214,ER,Georgia,13,56,2008,Night,Community,960,19,BLS,3.9102117730624695,1,0.16,1
215,Pediatrics,New York,26,88,1862,Rotating,Community,868,11,BLS,4.604709761928609,0,0.16,1
216,Labor & Delivery,California,4,41,2046,Rotating,Private,190,3,PALS,3.5774860356719618,1,0.1605,0
217,ER,New York,26,41,2007,Rotating,Community,132,15,ACLS,3.573941739146625,1,0.1645,0
218,ER,California,8,67,1294,Night,Private,226,15,PALS,4.079431557718317,1,0.1605,0
219,Med-Surg,Illinois,13,62,1226,Day,Community,247,0,PALS,4.0302097880910805,1,0.1605,0
220,ER,Georgia,13,76,2001,Night,Government,673,1,TNCC,3.9734498230507285,0,0.172,1
221,Pediatrics,Texas,26,71,1718,Rotating,Teaching,617,2,BLS,4.236529644003365,0,0.16,1
222,Labor & Delivery,Florida,8,72,2251,Night,Government,740,19,BLS,3.9811003734673567,1,0.16,1
223,Med-Surg,Georgia,4,40,2117,Day,Government,470,16,CEN,3.7883868777021377,0,0.167,0
224,ICU,New York,26,58,950,Day,Community,450,19,CCRN,3.9642043236329014,1,0.176,0
225,ICU,New York,13,41,1183,Rotating,Government,747,0,PALS,4.962356409215353,1,0.1605,0
226,Labor & Delivery,Illinois,8,83,2461,Day,Government,520,19,PALS,4.116670125492273,1,0.1605,1
227,ICU,New York,13,65,1107,Night,Government,267,5,ACLS,4.167069165287503,1,0.1645,1
228,Pediatrics,California,13,71,2159,Night,Community,974,14,BLS,4.36481748492671,1,0.16,1
229,ER,California,13,45,1545,Day,Private,978,13,ACLS,4.97501115262134,0,0.1645,0
230,Labor & Delivery,Texas,13,71,1691,Rotating,Teaching,877,19,TNCC,3.8624019146536446,1,0.172,1
231,Med-Surg,Texas,4,43,1174,Rotating,Teaching,778,14,CEN,4.5219231657986505,1,0.167,0
232,ER,Georgia,8,50,1831,Night,Private,681,13,ACLS,4.573977040312586,1,0.1645,1
233,ICU,Texas,26,56,2164,Day,Private,955,4,BLS,4.410986625189599,0,0.16,0
234,ICU,California,8,77,928,Night,Government,224,5,TNCC,3.6328675094549663,1,0.172,0
235,Med-Surg,North Carolina,8,63,1814,Night,Teaching,72,16,PALS,4.515308413741365,0,0.1605,1
236,Pediatrics,Ohio,8,44,1468,Night,Private,774,10,TNCC,3.5961420665542634,0,0.172,0
237,Med-Surg,Ohio,26,73,2175,Rotating,Government,966,15,CCRN,4.394213974324845,0,0.176,1
238,Labor & Delivery,Texas,8,45,2181,Day,Teaching,284,11,ACLS,4.6093717658326145,1,0.1645,1
239,Med-Surg,Texas,26,61,1316,Day,Community,62,14,BLS,3.8164548359299255,0,0.16,0
240,ICU,California,26,50,2318,Rotating,Community,150,3,ACLS,4.762433011314161,0,0.1645,0
241,Pediatrics,Illinois,4,87,885,Night,Teaching,978,17,PALS,3.5455307082995065,0,0.1605,0
242,Pediatrics,Georgia,13,55,1998,Night,Teaching,585,2,PALS,4.765719295487459,0,0.1605,0
243,Med-Surg,New York,26,72,2016,Rotating,Community,925,7,BLS,4.1904935759641475,1,0.16,1
244,Labor & Delivery,Georgia,13,48,1110,Day,Community,572,2,CCRN,3.8263819098974667,0,0.176,0
245,ICU,Florida,8,45,1942,Rotating,Teaching,834,7,CEN,3.700667217490952,0,0.167,0
246,ER,Ohio,13,55,2041,Day,Government,501,17,TNCC,4.929960751373558,1,0.172,1
247,Pediatrics,North Carolina,13,68,1226,Day,Private,480,9,TNCC,3.6089983813717352,1,0.172,0
248,Med-Surg,Ohio,13,42,2237,Day,Private,842,19,PALS,3.7986401299038883,1,0.1605,0
249,Labor & Delivery,California,8,59,913,Night,Teaching,655,16,ACLS,4.021733521149569,1,0.1645,0
250,Labor & Delivery,Georgia,8,75,1968,Night,Private,762,7,ACLS,4.430352273441681,0,0.1645,1
251,ICU,North Carolina,26,58,2361,Rotating,Community,582,10,CCRN,4.317201627914148,1,0.176,1
252,Pediatrics,California,26,65,2471,Rotating,Community,901,4,CEN,3.688465238618471,0,0.167,1
253,ICU,Florida,4,42,1102,Night,Private,772,12,ACLS,3.9345919756073218,1,0.1645,0
254,ER,North Carolina,8,58,1543,Rotating,Teaching,701,4,TNCC,3.858127656629036,1,0.172,0
255,ER,Georgia,4,59,1387,Night,Community,342,12,ACLS,3.820314281735512,0,0.1645,0
256,ER,North Carolina,8,71,1786,Night,Government,859,5,CEN,4.116716504719981,1,0.167,1
257,Labor & Delivery,Florida,13,46,1144,Day,Government,962,4,TNCC,4.556047178887486,1,0.172,0
258,Pediatrics,Texas,4,80,1613,Day,Community,150,8,ACLS,3.826179398325854,1,0.1645,0
259,ICU,Georgia,4,72,1600,Night,Community,551,15,TNCC,4.050018319554472,1,0.172,0
260,ICU,Florida,4,79,1824,Day,Private,353,1,PALS,4.086376140261743,1,0.1605,1
261,ER,New York,8,78,1970,Night,Teaching,920,0,PALS,4.964684794153115,0,0.1605,1
262,Pediatrics,New York,26,57,2110,Day,Private,589,7,CCRN,4.931999535318603,0,0.176,1
263,Pediatrics,Ohio,4,79,2477,Rotating,Teaching,602,18,PALS,4.700206374128114,1,0.1605,1
264,Med-Surg,New York,26,40,1876,Rotating,Government,404,10,ACLS,3.862488381228778,1,0.1645,0
265,Pediatrics,Georgia,8,50,2127,Night,Government,352,11,CEN,3.6020559711375046,1,0.167,0
266,Pediatrics,New York,4,67,1892,Night,Teaching,545,11,TNCC,3.975356206580937,1,0.172,0
267,ICU,New York,8,64,1160,Day,Private,707,6,BLS,3.9001918241507463,1,0.16,0
268,Pediatrics,North Carolina,26,89,2425,Day,Community,817,12,PALS,4.2588887002195905,1,0.1605,1
